time,action,bull_score,bear_score,gap,bos,choch,sweep,regime,confidence,pnl,balance
1316,SHORT,16.8,60.6,43.8,,,SWEEP_LOW,SIDEWAYS,0.5319999999999999,-35.58442224689213,11592.160583507508
1361,LONG,79.75,5.0,74.75,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.8,-250.7481436064207,11341.412439901087
1369,SHORT,8.5,86.5,78.0,BEARISH,,,SIDEWAYS,0.86,1461.6173240015619,12803.029763902648
1525,LONG,99.5,5.0,94.5,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.99,489.2902700762121,13292.32003397886
1644,SHORT,0.0,47.6,47.6,,,,SIDEWAYS,0.413,-32.39204723380611,13259.927986745053
1673,LONG,74.5,5.0,69.5,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.74,-317.10604511466056,12942.821941630393
1700,SHORT,0.0,100.0,100.0,BEARISH,,,SIDEWAYS,1.0,240.31634649918837,13183.138288129581
1780,LONG,53.2,24.0,29.200000000000003,,,SWEEP_HIGH,SIDEWAYS,0.469,-60.21106723154832,13122.927220898033
1802,SHORT,0.0,51.400000000000006,51.400000000000006,,,,SIDEWAYS,0.44799999999999995,-59.05672987372275,13063.87049102431
1831,SHORT,0.0,45.800000000000004,45.800000000000004,,,,SIDEWAYS,0.39899999999999997,30.044416657100452,13093.91490768141
1907,SHORT,12.0,49.800000000000004,37.800000000000004,,,,SIDEWAYS,0.434,-32.38820839082794,13061.526699290582
1913,SHORT,8.0,69.8,61.8,,,SWEEP_LOW,SIDEWAYS,0.609,-63.648549803624284,12997.878149486958
1946,SHORT,9.25,77.25,68.0,BEARISH,,,SIDEWAYS,0.77,658.9206436279633,13656.798793114922
2064,LONG,87.25,5.0,82.25,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.87,-68.75996508821073,13588.03882802671
2186,LONG,68.2,24.0,44.2,,,SWEEP_HIGH,SIDEWAYS,0.595,-60.42982417653485,13527.609003850175
2199,SHORT,24.0,53.800000000000004,29.800000000000004,,,SWEEP_LOW,SIDEWAYS,0.469,-47.66943544375124,13479.939568406424
2216,LONG,77.2,12.0,65.2,,,SWEEP_HIGH,SIDEWAYS,0.6719999999999999,12.966967180077914,13492.906535586502
2283,LONG,100.0,5.0,95.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,72.09985901830929,13565.006394604812
2364,SHORT,0.0,100.0,100.0,BEARISH,,,SIDEWAYS,1.0,74.89934839534024,13639.905743000152
2423,LONG,100.0,15.0,85.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-352.1890261270943,13287.716716873058
2446,SHORT,24.0,59.2,35.2,,,,SIDEWAYS,0.518,4.746708805816736,13292.463425678874
2448,SHORT,24.0,47.2,23.200000000000003,,,,SIDEWAYS,0.413,30.799234276700485,13323.262659955575
2453,SHORT,0.0,74.0,74.0,BEARISH,,,SIDEWAYS,0.74,155.61205077114352,13478.874710726719
2455,SHORT,15.999999999999998,80.0,64.0,,,,SIDEWAYS,0.7,178.24740401237477,13657.122114739093
2568,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,375.48477476581917,14032.606889504912
2720,SHORT,0.0,58.400000000000006,58.400000000000006,,,,SIDEWAYS,0.511,-93.49687591927126,13939.110013585641
2739,LONG,99.0,0.0,99.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.99,68.39543256126215,14007.505446146903
2844,LONG,100.0,10.0,90.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-161.28139542707154,13846.224050719831
2858,SHORT,16.0,54.400000000000006,38.400000000000006,,,SWEEP_LOW,SIDEWAYS,0.476,-13.914899727652164,13832.30915099218
2872,LONG,73.60000000000001,12.0,61.60000000000001,,,SWEEP_HIGH,SIDEWAYS,0.644,372.16662675056796,14204.475777742748
3020,SHORT,5.0,64.0,59.0,BEARISH,,,SIDEWAYS,0.64,4.311857419643482,14208.78763516239
3084,LONG,70.4,8.0,62.400000000000006,,,,SIDEWAYS,0.616,-174.18962694468507,14034.598008217707
3114,SHORT,10.0,100.0,90.0,BEARISH,,,SIDEWAYS,1.0,818.2877092640116,14852.885717481719
3334,LONG,78.4,0.0,78.4,,,,SIDEWAYS,0.6859999999999999,23.93413874553051,14876.819856227248
3412,SHORT,0.0,70.4,70.4,,,,SIDEWAYS,0.616,-37.026031450848116,14839.7938247764
3428,LONG,80.0,0.0,80.0,,,,SIDEWAYS,0.7,-63.48102894837868,14776.31279582802
3477,SHORT,34.400000000000006,59.2,24.799999999999997,,,SWEEP_HIGH,SIDEWAYS,0.518,-6.268383962501751,14770.044411865518
3479,LONG,80.0,8.0,72.0,,,,SIDEWAYS,0.7,-70.6931478851262,14699.351263980392
3512,SHORT,11.200000000000003,50.400000000000006,39.2,,,,SIDEWAYS,0.44099999999999995,-33.099450584443034,14666.25181339595
3532,LONG,78.4,8.0,70.4,,,SWEEP_HIGH,SIDEWAYS,0.6859999999999999,-44.96279635130461,14621.289017044644
3576,SHORT,0.0,100.0,100.0,BEARISH,,,SIDEWAYS,1.0,2232.2195545228733,16853.508571567516
3831,SHORT,7.999999999999997,73.60000000000001,65.60000000000001,,,,SIDEWAYS,0.644,33.96054094313024,16887.469112510647
3845,LONG,70.4,0.0,70.4,,,,SIDEWAYS,0.616,277.58918946425206,17165.0583019749
3928,SHORT,0.0,50.400000000000006,50.400000000000006,,,,SIDEWAYS,0.44099999999999995,62.544801053164306,17227.603103028065
